CODICESCUOLA,Provincia,DENOMINAZIONESCUOLA,description:it
PNEE830045,PN,Pn-san Gregorio Gasparre Gozzi,Scuola Primaria
PNEE82403R,PN,Prata-villanova Renato Serra,Scuola Primaria
PNRC006016,PN,I.P.S.C. G. Marchesini,Istituto Professionale per i Servizi Commerciali e Turistici
PNIC81600N,PN,Ic Canevaandrea Zanzotto,Istituto Comprensivo
UDTD021511,UD,SEZIONE SERALE ITC DEGANUTTI UDINE,ISTITUTO TECNICO COMMERCIALE
UDEE00801T,UD,COLLEGIO UCCELLIS,SCUOLA PRIMARIA
PNEE822013,PN,Porcia-cap. Luigi Gabelli,Scuola Primaria
GOAA81004R,GO,Via del Carso,Scuola Infanzia
UDIC84400T,UD,V - Udine,Istituto Comprensivo
TSAA819043,TS,Gabrovizza - L.Ins.Slovena,Scuola Infanzia
UDEE80901L,UD,Forni Avoltri,Scuola Primaria
UDAA835021,UD,Il Pianeta del Piccolo Principe,Scuola Infanzia
UDEE852053,UD,G. Marconi-rive D'arcano,Scuola Primaria
GOTD00851L,GO,FERMI-SERALE,ISTITUTO TECNICO COMMERCIALE
UDPM040005,UD,ISTITUTO MAGISTRALE UCCELLIS,ISTITUTO MAGISTRALE
TSEE82003B,TS,M.Samsa-t.Zamejski-l.Ins.Slov,Scuola Primaria
PNEE82402Q,PN,Prata di Sopra G.E.L.Brunetta,Scuola Primaria
PNMM82302V,PN,Sms San Quirino,Scuola Primo Grado
PNTF00601Q,PN,Grafica e Comunicazione,Istituto Tecnico Industriale
UDIS00200X,UD,Convitto Nazionale,Istituto Superiore
UDEE80907V,UD,Sappada,Scuola Primaria
UDPC010005,UD,Liceo Classico J. Stellini Udine,Liceo Classico
UDMM80902L,UD,Riccardo Romanin,Scuola Primo Grado
UDAA85201N,UD,S. Daniele,Scuola Infanzia
PNAA81101B,PN,Fontanafredda G.Rodari,Scuola Infanzia
GOAA80902E,GO,Fraz. Fossalon,Scuola Infanzia
UDPM010009,UD,Liceo Caterina Percoto,Istituto Magistrale
TSIC820007,TS,Ic Josip Pangerc - L.Ins.Slov.,Istituto Comprensivo
UDAA84403R,UD,Udine-g. Zambelli,Scuola Infanzia
UDAA85204R,UD,Rive D'arcano,Scuola Infanzia
PNEE830012,PN,Pn-borgomeduna E. De Amicis,Scuola Primaria
PNEE82302X,PN,San Quirino Ugo Foscolo,Scuola Primaria
UDIC80900E,UD,M. Gortani - Comeglians,Istituto Comprensivo
UDEE01701L,UD,CONVITTO NAZ.P.DIACONO,SCUOLA PRIMARIA
