operator,name,provincia,addr:city,addr:street,addr:housenumber,lon,lat,addr:postcode,chiusura,note1,note2
I DUE CIARLI SRLS,HOSTERIA DEL PANINO,RM,Roma,Via Nizza,42/44,12.5002095,41.912433,00198,SABATO E DOMENICA,,
I DUE FRATELLI DI SERAFINI E C. SNC,I DUE FRATELLI,RM,Roma,Via Orazio Dello Sbirro,SNC,12.276632,41.7331764,00121,DOMENICA,MERCATO COPERTO ORAZIO DELLO SBIRRO,
I DUE SECONDA 90 SRL,I DUE SECONDA,RM,Roma,Circonvallazione Nomentana,580,12.5273399,41.9174465,00162,DOMENICA,,
I MOLISANI SNC,PIZZERIA TAVOLA CALDA,RM,Roma,Via Bergamo,5/B/C,12.5001093,41.9112646,00198,MERCOLEDI',,
I SICILIANI EUR S.R.L.,I SICILIANI,RM,Roma,Viale Europa,134,12.4601280240879,41.82740918242351,00144,MAI,,
I SICILIANI SUNRISE SRLS,RISTORANTE I SICILIANI,RM,Roma,Via Servio Tullio,43382,12.4975316,41.9073517,00187,MAI,,
I SICILIANI SUNRISE SRLS,I SICILIANI,RM,Roma,Via Venti Settembre,45,12.4956205,41.9052704,00187,MAI,,
IANNUZZIELLO NUNZIO DONATO,MORDI E FUGGI,RM,Roma,Via Silvio Spaventa,9,12.4954548,41.9068003,00187,SABATO E DOMENICA,,
IL BARONE RAMPANTE DI BARBETTI ALBERTO,IL BARONE RAMPANTE,RM,Roma,Via Tito Omboni,163/165,12.5013806,41.8656284,00147,DOMENICA,,
IL BOSCHETTO SRL,CONAD CITY SUPERMERCATO,RM,Roma,Via Val Di Non,41/43/45/47,12.5175807,41.9447064,00141,MAI,,
IL BOSCHETTO SRL,CONAD CITY SUPERMERCATO,RM,Roma,Via Del Boschetto,52,12.4904147,41.897518,00184,MAI,,
IL CAFFETTINO SRL,IL CAFFETTINO,RM,Roma,Via Monte Santo,43255,12.4594935,41.9154825,00195,DOMENICA,,
IL MAGNACOLO DI RE.AR. SRL,IL MAGNACOLO,RM,Roma,Via Andrea Solario,58,12.4867442,41.8379542,00142,SABATO E DOMENICA,,
IL MIGLIO 2018 SRL,MORENO,RM,Roma,Piazza Bologna,39/A,12.5206233,41.9139636,00162,MAI,,
IL NUOVO PAPERO SNC DI VITIELLO GAETANO E ROCCHI MAURO,IL NUOVO PAPERO,RM,Roma,Largo Luigi Antonelli,41609,12.4845302,41.8510301,00145,SABATO E DOMENICA,,
IL NUOVO SOLE SRL,LA CUCCUMA,RM,Roma,Via Merulana,221,12.5033626,41.8894574,00185,MAI,,
IL PIZZETTIERE SNC DI LANCIOTTI MASSIMO & C.,IL PIZZETTIERE,RM,Roma,Piazza S Maria Liberatrice,21,,,00153,DOMENICA,,
IL QUADRIFOGLIO SRL,CONAD CITY SUPERMERCATO,RM,Roma,Via Ipogeo Degli Ottavi,61/79,12.4079884,41.9656285,00135,MAI,,
IL SICILIANO PSG SRL,IL SICILIANO,RM,Roma,Viale Europa,351,12.4691938,41.8308093,00144,MAI,,
INCANTESIMO SRL,MIMI' COCO' E PIZZA,RM,Roma,Viale Leonardo Da Vinci,264/266,12.4805662,41.8585698,00145,DOMENICA,,
INNOVATION LAB SRLS,XTRA ONE COFFEE,RM,Roma,Via Lombardia,21,12.4874906,41.907668,00187,MAI,,
INVERSA LUCIANO,LA PIZZERIA DEL MERCATO,RM,Roma,Via Cesare Ricotti,72,12.5352028,41.8993528,00159,MARTEDI',,
IPERCARNI SRL,IPERCARNI SUPERMERCATO,RM,Roma,Via Enrico Ferri,26,12.5989964,41.8505818,00173,MAI,,
